epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1414.66,0.69006,0.58512,0.01038,0.85423,0.79154,0.87013,0.68224,0.69467,0.66152,0.01283,0.000540037,0.000540037,0.000540037
43,1448.1,0.6923,0.58322,0.01067,0.83873,0.78284,0.84686,0.65612,0.71427,0.66015,0.01331,0.000531038,0.000531038,0.000531038
44,1481.67,0.69514,0.57827,0.01036,0.79003,0.80845,0.8384,0.66624,0.69215,0.60767,0.01265,0.000522039,0.000522039,0.000522039
45,1515.13,0.6886,0.56684,0.0105,0.86125,0.79419,0.87281,0.69922,0.70854,0.64896,0.01325,0.00051304,0.00051304,0.00051304
46,1548.59,0.6796,0.55601,0.01014,0.88248,0.77198,0.84907,0.68108,0.7001,0.74471,0.01273,0.00050404,0.00050404,0.00050404
47,1582.05,0.67894,0.55756,0.01012,0.82269,0.81743,0.85592,0.69075,0.68472,0.6471,0.01296,0.000495041,0.000495041,0.000495041
48,1615.42,0.66242,0.5548,0.00984,0.76529,0.82134,0.81208,0.64587,0.72342,0.72767,0.01394,0.000486042,0.000486042,0.000486042
49,1648.91,0.67321,0.54335,0.01039,0.91806,0.79694,0.8881,0.7004,0.7075,0.63242,0.01332,0.000477043,0.000477043,0.000477043
50,1682.43,0.65178,0.53193,0.00962,0.8803,0.78587,0.85919,0.67713,0.70066,0.64706,0.0128,0.000468044,0.000468044,0.000468044
51,1715.88,0.66214,0.53251,0.00998,0.84816,0.87132,0.88894,0.70511,0.72747,0.66805,0.0135,0.000459045,0.000459045,0.000459045
52,1749.51,0.63379,0.52039,0.00941,0.83479,0.81193,0.85485,0.67726,0.71596,0.68888,0.01328,0.000450046,0.000450046,0.000450046
53,1783,0.6405,0.51889,0.00955,0.87269,0.81974,0.88267,0.70812,0.66794,0.6015,0.01211,0.000441047,0.000441047,0.000441047
54,1816.47,0.63176,0.51004,0.00945,0.87699,0.79469,0.87592,0.70703,0.67012,0.61758,0.01204,0.000432048,0.000432048,0.000432048
55,1849.89,0.64126,0.51036,0.00959,0.81285,0.87767,0.90014,0.72402,0.67402,0.59817,0.01224,0.000423049,0.000423049,0.000423049
56,1883.39,0.62218,0.47651,0.00917,0.8729,0.80793,0.87313,0.70762,0.68281,0.63231,0.01226,0.000414049,0.000414049,0.000414049
57,1916.79,0.61799,0.48236,0.00916,0.89416,0.81897,0.87069,0.69875,0.66076,0.64271,0.0118,0.00040505,0.00040505,0.00040505
58,1950.16,0.61812,0.47519,0.00932,0.88334,0.80982,0.86997,0.70965,0.65879,0.67164,0.01189,0.000396051,0.000396051,0.000396051
59,1983.66,0.60472,0.45571,0.00887,0.87491,0.84552,0.88813,0.71044,0.68764,0.63304,0.01234,0.000387052,0.000387052,0.000387052
60,2017.08,0.60178,0.46676,0.0089,0.86726,0.81849,0.88236,0.70833,0.66763,0.66449,0.01187,0.000378053,0.000378053,0.000378053
61,2050.4,0.61264,0.45903,0.00897,0.86495,0.8537,0.89229,0.71426,0.66783,0.64872,0.01208,0.000369054,0.000369054,0.000369054
62,2083.79,0.59133,0.43944,0.00873,0.83685,0.83082,0.87707,0.70386,0.66846,0.60667,0.0124,0.000360055,0.000360055,0.000360055
63,2117.21,0.58931,0.4572,0.00871,0.88507,0.84459,0.90162,0.7251,0.66349,0.62144,0.012,0.000351056,0.000351056,0.000351056
64,2150.67,0.5844,0.43897,0.00849,0.88835,0.83491,0.88168,0.69737,0.68277,0.66239,0.01241,0.000342057,0.000342057,0.000342057
65,2184.13,0.57764,0.44098,0.00848,0.91796,0.81146,0.89218,0.70916,0.66006,0.5882,0.012,0.000333058,0.000333058,0.000333058
66,2217.5,0.58536,0.44177,0.00863,0.91144,0.87215,0.92032,0.73571,0.66535,0.63331,0.01206,0.000324058,0.000324058,0.000324058
67,2250.99,0.57729,0.44191,0.00856,0.8944,0.81248,0.88507,0.71204,0.6551,0.64417,0.01158,0.000315059,0.000315059,0.000315059
68,2284.33,0.55315,0.40939,0.00814,0.89751,0.81387,0.89422,0.72537,0.65728,0.63137,0.01153,0.00030606,0.00030606,0.00030606
69,2317.76,0.56395,0.4218,0.00834,0.85934,0.87634,0.90847,0.72711,0.65308,0.64904,0.01164,0.000297061,0.000297061,0.000297061
70,2351.19,0.55396,0.40848,0.00793,0.89342,0.8489,0.90415,0.74405,0.6387,0.62985,0.01129,0.000288062,0.000288062,0.000288062
71,2384.62,0.56431,0.40317,0.00812,0.90753,0.82295,0.8948,0.73636,0.63482,0.60944,0.01116,0.000279063,0.000279063,0.000279063
72,2418.01,0.55509,0.39462,0.00814,0.91132,0.84223,0.91231,0.7315,0.63029,0.58447,0.01121,0.000270064,0.000270064,0.000270064
73,2451.34,0.54119,0.39618,0.00783,0.91943,0.82727,0.9072,0.74032,0.62089,0.6281,0.01095,0.000261065,0.000261065,0.000261065
74,2484.69,0.55086,0.40184,0.00803,0.90759,0.80248,0.88651,0.7292,0.64202,0.60682,0.01134,0.000252066,0.000252066,0.000252066
75,2518,0.53399,0.38071,0.00775,0.90843,0.83723,0.88548,0.72497,0.638,0.66603,0.01127,0.000243067,0.000243067,0.000243067
